sampleId,COMID,Lat,Long,pct_NP25km,reference,mEPTR_f,mEPTR_nf,mIR_f,mIR_nf,mMMI_rr_nf,mMMI_rr_f,mMMI_trad_nf,mMMI_trad_f,OoverE_trad0_nf,OoverE_trad0_f,OoverE_trad5_f,OoverE_trad5_nf,OoverE_rra_nf,OoverE_rra_f,OoverE_rrb_nf,OoverE_rrb_f,OoverE_rrb_armor_f,OoverE_rrb_crawl_f,OoverE__rrb_desication_f,OoverE__rrb_dispersal_f,OoverE__rrb_flystrength_f,OoverE__rrb_lifespan_f,OoverE__rrb_maxsize_f,OoverE__rrb_respire_f,OoverE__rrb_rheo_f,OoverE__rrb_swim_f,OoverE__rrb_drift_f,OoverE__rrb_emergence_f,OoverE__rrb_thermal_f,OoverE__rrb_voltinism_f,OoverE__rrb_armor,OoverE__rrb_crawl,OoverE__rrb_desication,OoverE__rrb_dispersal,OoverE__rrb_flystrength,OoverE__rrb_lifespan,OoverE__rrb_maxsize,OoverE__rrb_respire,OoverE__rrb_rheo,OoverE__rrb_swim,OoverE__rrb_drift,OoverE__rrb_emergence,OoverE__rrb_thermal,OoverE__rrb_voltinism,OoverE_dendrogram_group
113982,1399314,37.81394232,-109.5009019,81.74841708,N,0.943247917,0.889614126,0.980496612,0.977029784,0.934290101,0.945701414,0.960292014,0.963666468,0.683991569,0.683471326,0.709081349,0.708562203,0.893561812,0.894165813,0.854191461,0.856469166,0.60635936,0.876992336,0.269403571,0.83004148,1.003581672,0.819745637,0.830650403,1.069066343,0.846535007,1.009027541,1.258519393,0.582360997,1.009186753,0.979097824,0.605755511,0.877583793,0.268851833,0.828111982,0.999206767,0.818524543,0.808530331,1.068155194,0.845500386,1.011807495,1.258747786,0.581049786,1.007824331,0.979030709,NA
114492,23935945,42.26367268,-123.1626843,23.59344893,N,0.493475162,0.615098971,0.435035591,0.466626031,1.162042593,1.083646242,1.098758073,1.061476345,0.640840397,0.604200828,0.915510621,1.005090572,1.043626086,1.068792879,1.075178785,1.108713257,0.767541402,0.906152736,0.165580804,1.728756282,2.41335161,0.96396886,0.848480607,1.206787432,0.720011982,0.925515913,1.091153275,1.643113809,1.174990045,0.966580842,0.769380523,0.932644522,0.148922445,1.609143523,2.347791829,0.967069754,0.824519351,1.197189042,0.670692166,0.989578852,1.014766395,1.518544433,1.114029015,0.948231135,NA
114493,947100146,42.24296761,-123.0915989,28.07254579,N,0.431315675,0.564580963,0.366009101,0.398563577,1.029123431,0.864503138,0.981557994,0.844618612,0.532572358,0.508922223,0.674687785,0.890550555,0.999138927,1.0200735,1.005851331,1.033179362,0.743368689,0.835589367,0.164037863,1.482484682,2.081333511,0.753174332,0.868558109,1.204285775,0.479859455,0.8996621,1.375448388,1.403316358,1.073514446,1.099877989,0.744068146,0.856661215,0.14947553,1.389382817,2.022524282,0.753307735,0.847376753,1.197719401,0.452316484,0.953868168,1.296659302,1.310862508,1.025086059,1.082610239,NA
115217,8041805,39.72330356,-120.6326396,21.656771,Y,1.176398279,1.310894354,1.357696708,1.491278769,1.226719486,1.175237131,1.222340427,1.191082066,1.399275712,1.340490063,1.114820465,1.176093376,0.974747412,0.982280709,0.953490557,0.971020145,1.117544172,1.003929813,0.269635999,1.536342818,1.251433319,1.226399308,0.847771381,1.047100249,0.914373872,0.914717449,0.700796145,0.842408689,0.974834523,0.946994299,1.09862672,0.991613283,0.252842635,1.423562793,1.150584532,1.188530756,0.855162171,1.058710275,0.938847681,0.927457955,0.71089644,0.844167821,0.958538431,0.949326299,1
115218,8040307,39.72649595,-120.7247124,21.58545413,Y,1.052169459,1.104347365,1.020916566,1.104123934,0.996631912,0.936561248,1.018033427,0.972107202,1.193809967,1.112579447,1.200868308,1.260552147,0.968076703,0.925639309,0.964448419,0.863264829,0.740002774,1.038631238,0.281985859,0.871013015,0.638542224,0.979751602,0.94085133,1.066776885,1.323679419,1.132349414,0.869567971,0.395903946,0.875479679,0.931172252,0.820126531,1.069685613,0.42912072,1.438401047,1.194958148,1.172216504,0.930578535,1.035601371,1.253142621,1.027675197,0.829105819,0.415135348,0.964860997,0.921669415,2
115219,8039745,39.80426022,-120.8120025,28.7821345,Y,1.096985002,1.15133683,1.073645335,1.125609313,0.817265573,0.745443592,0.842180193,0.769563401,0.906488641,0.877899708,0.900115671,0.967052249,0.974635274,0.974324267,0.923165179,0.923092164,0.854121311,1.133158814,0.24517481,1.020117885,0.91305286,0.859718419,0.822903655,1.094505933,0.7819729,1.3017847,0.85877305,1.009123995,1.035437988,0.993443972,0.854017104,1.129936443,0.246577282,1.017591967,0.909924531,0.858728145,0.822983455,1.095512247,0.785175716,1.299638021,0.859816294,1.014507446,1.03594221,0.993961651,1
115222,8020610,40.15581695,-121.5933678,17.8925207,Y,1.0521331,1.128945867,0.931237988,0.944414115,1.115488264,1.01865324,1.118636462,1.000164932,0.81754571,0.812329484,0.872160659,0.846657205,1.0021323,0.998034282,0.944765803,0.935933001,0.985022603,1.081894567,0.230381233,1.036982297,1.358304166,1.085726276,0.909874788,0.959782561,0.256343188,1.101620682,0.904119917,1.036181383,1.109818433,1.047009918,0.990257952,1.074240342,0.23892707,1.049872207,1.369961016,1.08991647,0.970152208,0.960926763,0.259480262,1.089335804,0.9073098,1.059494239,1.118031677,1.048815429,1
115223,8020498,40.2082051,-121.4118342,11.70410719,Y,0.901872443,0.951895618,0.929513836,1.012454404,0.873775306,0.840576423,0.897878058,0.853736181,1.002734985,0.997055112,1.113324175,1.070547332,0.975346447,0.939439651,0.863113921,0.819216418,0.837667465,1.139675846,0.354928393,0.096440574,0.137512209,0.918082196,0.981008895,1.06308787,1.054593581,0.958880264,1.024142796,1.056430501,0.868325074,0.978254185,0.903755594,1.130968431,0.519504879,0.14716346,0.241489204,1.043206318,0.996677403,1.061144119,1.077028653,0.87459591,1.019628852,1.148731031,0.943813329,0.975887714,2
115224,2772712,40.39858257,-121.4391176,23.47502531,Y,0.986790997,0.963331995,0.921366164,0.925234961,1.143716944,1.124922291,1.153291645,1.156159511,0.914248139,0.926008792,0.980301359,1.015375131,1.035288586,1.012050366,1.170758462,1.065426067,1.100003919,0.965599348,0.399916003,1.803375071,1.420299637,1.056619806,0.848041324,1.072479319,1.226174125,1.206073834,0.951210517,1.014137743,1.023034613,0.828999677,1.151564651,0.961616659,0.513745919,2.376976051,2.067341558,1.14364921,0.805925808,1.069946976,1.237931857,1.142959406,0.947730683,1.06650503,1.076888412,0.827836247,2
115226,7930205,41.15412194,-120.2514581,73.15255617,Y,0.672366195,0.597185494,0.591064122,0.577537791,0.469377346,0.468808682,0.515894943,0.483556657,0.636429196,0.635189196,0.722673293,0.723272448,1.058991939,0.999783531,1.007148113,0.934440124,1.00948552,1.021562732,0.229415309,0.784327283,0.089176481,0.844174571,1.039964991,1.183121797,1.398138304,1.027200114,1.377809968,1.251719688,0.739833217,1.086231765,1.126752542,1.01449341,0.369659163,1.275067184,0.158592464,1.009107854,1.003382818,1.162695962,1.408227313,0.886609571,1.352978892,1.412858028,0.83626054,1.083387845,2
